model_name,engine_type,engine_power,max_speed,cruise_speed,stall_speed,fuel_tank,all_eng_roc,out_eng_roc,takeoff_distance,landing_distance,empty_weight,length,wing_span,range,price
100 Darter (S.L. Industries),Piston,145,104,91,46,36,450,900,1300,2050,1180,303,449,370,1300000
7 CCM Champ,Piston,85,89,83,44,15,600,720,800,1350,820,247,433,190,1230000
100 Darter (S.L. Industries),Piston,90,90,78,37,19,650,475,850,1300,810,257,420,210,1600000
7 AC Champ,Piston,85,88,78,37,19,620,500,850,1300,800,257,420,210,1300000
100 Darter (S.L. Industries),Piston,65,83,74,33,14,370,632,885,1220,740,257,420,175,1250000
PA-60-700P Aerostar (preliminary),Piston,65,78,72,33,15,360,583,880,1250,786,244,433,180,1100000
"PA-601P pressurized Aerostar ('77 service ceiling=26,350)",Piston,350,264,230,80,165,1820,3080,2100,6315,4275,418,440,868,2500000
100 Darter (S.L. Industries),Piston,290,262,247,77,165,1755,2250,2076,6000,4125,417,439,1020,2800000
"PA-601, 601A, turbochg Aerostar",Piston,290,257,235,77,165,1460,2490,2030,6000,4056,418,440,1101,2500000
100 Darter (S.L. Industries),Piston,290,257,237,77,165,1460,2490,2030,6000,3958,418,440,1174,3000000
G164B-600 AG-CAT (design category) sprayer,Piston,290,271,236,69,174,1700,2200,1625,5700,3750,418,410,1174,3010000
100 Darter (S.L. Industries),Piston,290,220,212,74,165,1800,1950,1840,5500,3737,418,410,1200,2120000
G164A-300 AG CAT,Piston,600,177,100,52,64,1360,1050,1150,5200,3650,306,509,200,
100 Darter (S.L. Industries),Piston,600,128,96,59,46,1600,860,770,4500,3160,292,431,148,1450000
G164A-245 AG CAT,Piston,525,128,91,52,46,1350,1706,540,567,4500,337,507,155,
A-2,Piston,450,128,91,52,46,1060,1090,1150,4500,3100,307,507,190,1450000
100 Darter (S.L. Industries),Piston,450,128,91,58,46,990,1145,750,4500,2870,292,431,190,1400000
415-G,Piston,300,128,74,54,46,700,1200,1000,3750,2410,292,428,226,1150000
CH-601-XL/i/650-LS/i,Piston,275,114,74,54,33,600,1275,1000,3750,2400,292,428,117,1025000
8KCAB-150 F/P prop(w/optional speed kit),Piston,245,114,70,54,33,496,1300,1000,3750,2300,292,428,174,850000
7KCAB,Piston,220,114,70,48,33,435,1360,1000,3600,2200,292,428,190,700000
7GCAA,Piston,90,112,108,37,24,640,1100,1200,1450,930,242,360,410,1730000
100 Darter (S.L. Industries),Piston,90,113,104,50,24,600,1800,1600,1400,900,241,360,400,1600000
7GCBC with EDO floats,Piston,85,99,96,50,24,550,2100,1850,1400,833,241,360,360,1350000
7EC,Piston,100,120,113,38,30,1000,1706,1525,1320,770,240,324,715,1200000
Starship 2000 (2000A=increased spds & weights),Piston,150,147,137,52,40,1000,1706,1525,1800,1260,275,384,404,1600000
King Air 260,Piston,150,116,109,43,39,1120,535,755,1650,1140,271,413,411,1700000
B200 Super King Air,Piston,150,109,103,37,37,1140,617,718,1650,1050,273,413,411,1810000
100 Darter (S.L. Industries),Piston,150,113,109,43,39,1120,535,755,1650,1140,272,401,411,1700000
"B100 King Air (prior '79 serv. ceiling=29,100)",Piston,150,113,111,39,35,1145,457,690,1650,1150,272,411,480,1700000
100 Darter (S.L. Industries),Piston,150,97,90,46,39,800,1706,1525,1800,1290,271,414,248,1600000
100 King Air,Piston,115,109,107,44,35,725,716,775,1650,1067,272,401,301,1200000
100 Darter (S.L. Industries),Piston,90,117,97,38,26,700,1240,700,1450,820,258,421,350,1550000
F90 King Air,Piston,60,85,75,38,13,400,850,1525,1220,750,263,421,261,850000
"C90A King Air (LJ-1063 up) (10,100 g/w=SN1138 up)",Piston,160,168,160,63,80,1160,1805,1330,3800,2588,355,441,680,1740000
100 Darter (S.L. Industries),Piston,180,148,139,53,51,850,1550,1120,2400,1360,264,378,530,1380000
100 Darter (S.L. Industries),Piston,150,136,127,52,37,660,1600,1100,2200,1323,264,378,428,1265000
A 90 King Air,Piston,150,130,122,50,38,660,1600,1100,2200,1271,264,377,503,1265000
100 Darter (S.L. Industries),Piston,108,120,108,52,24,705,1590,1100,1560,975,230,293,348,1275000
88 Queen Air pressurized,Piston,108,120,109,51,24,765,1400,1065,1500,1007,231,293,350,1375000
B 80 Queen Air - specs thru 1972,Piston,100,90,84,33,20,700,1706,1525,1320,845,269,426,275,1500000
80 Queen Air,Piston,180,126,113,36,52,1500,1706,1525,1800,1190,271,426,696,2000000
A 65 Queen Air,Piston,600,122,96,61,54,1000,1200,800,6000,3400,352,532,275,1500000
B 60 Duke pressurized (prior '78 t/o run=2006),Piston,600,122,108,57,100,900,1706,1525,6000,3700,352,532,275,1500000
60 Duke Pressurized,Propjet,750,138,130,57,190,1740,1706,1525,6000,3600,396,533,545,2500000
100 Darter (S.L. Industries),Piston,80,157,138,46,17,1000,820,721,1320,622,250,425,350,
C 50 Twin Bonanza,Propjet,1200,335,328,56,560,3225,3876,2630,14400,9887,553,653,1722,3480000
50 Twin Bonanza,Propjet,1050,314,303,56,539,2979,1706,2508,15000,9051,560,695,1966,3500000
58 P Baron-press.('77 hgt=9/6) (range based on 190 gal fuel),Propjet,850,310,259,80,3645,2437,1706,1525,12590,8830,526,695,1720,3500000
58 TC Baron (325) turbochg-non-pressurized,Propjet,850,294,279,75,544,2450,3345,2845,12500,7538,525,654,1972,3500000
100 Darter (S.L. Industries),Propjet,850,290,272,75,544,2450,3345,2845,12500,7538,525,654,1870,3288000
58 Baron (300 hp),Propjet,715,265,258,83,470,1963,2951,2679,11800,7082,479,551,1080,2485000
100 Darter (S.L. Industries),Propjet,680,248,235,75,470,1963,3245,2944,11500,6797,479,551,1000,2485000
A56TC Turbo Baron,Propjet,680,248,239,73,374,2200,1729,2138,10600,6440,477,550,1005,2590000
100 Darter (S.L. Industries),Propjet,750,279,265,79,470,2455,2808,2275,10950,6647,478,551,1235,3045000
E 55 Baron ('70-'72 fuel=142 gal opt),Propjet,750,267,261,77,470,2380,2856,2275,10950,6549,478,551,1235,2980200
100 Darter (S.L. Industries),Propjet,550,250,245,77,474,1870,2024,2110,10100,5996,426,603,1290,2762000
B 55 Baron (1978 & up),Propjet,550,247,240,75,384,2137,2261,1672,10100,5765,426,603,1120,3000000
100 Darter (S.L. Industries),Propjet,550,223,217,76,384,1955,2261,1672,9650,5765,426,603,1120,2810000
100 Darter (S.L. Industries),Propjet,550,223,219,74,384,2000,2180,2010,9650,5685,438,603,1185,2720000
E 95 Travel Air (fuel inj.),Propjet,550,223,216,77,384,1900,2150,1960,9300,5680,426,541,1160,3020000
100 Darter (S.L. Industries),Propjet,500,243,235,75,384,2000,1755,1870,9000,5680,426,541,1270,2840000
"95, B95 Travel Air (95 = 4,000 lb. gross)",Piston,380,214,192,71,264,1275,1800,2311,8800,6035,426,603,902,2680000
100 Darter (S.L. Industries),Piston,380,216,196,70,200,1275,2556,2572,8800,5277,426,603,656,2680000
B 36 TC Bonanza,Piston,380,216,195,71,214,1275,1800,2311,8800,5120,426,603,716,2680000
100 Darter (S.L. Industries),Piston,380,219,200,70,214,1585,1800,2143,8500,4900,426,603,716,2850000
A 36 Bonanza (300 hp),Piston,380,208,191,67,230,1300,1450,2070,8000,4800,422,603,746,2800000
100 Darter (S.L. Industries),Piston,340,208,186,70,214,1375,1675,2107,8200,4995,426,604,755,3000000
36 Bonanza,Piston,340,208,186,70,214,1300,1560,1750,7700,4980,426,550,755,3130000
100 Darter (S.L. Industries),Piston,340,200,186,70,180,1300,1700,1980,7700,4640,399,550,630,2700000
V 35B Bonanza ('80 & up=fuel std 74 gal),Piston,380,246,233,73,142,1601,2626,3065,6775,4425,406,471,1010,3000000
100 Darter (S.L. Industries),Piston,380,249,240,76,142,1601,2626,3065,6775,4175,406,471,824,3080000
V 35 TC Turbo Bonanza,Piston,380,249,236,76,142,1615,1660,2340,6725,4100,406,471,824,3130000
100 Darter (S.L. Industries),Piston,450,204,191,76,198,1400,2072,1850,9900,5845,422,596,622,2030000
S 35 Bonanza,Piston,450,200,186,73,275,1410,1980,1850,9700,5910,421,594,880,2140000
100 Darter (S.L. Industries),Piston,450,203,187,71,206,1250,2079,1569,9300,6150,397,571,638,2300000
"K,M 35 Bonanza",Piston,450,200,183,67,206,1190,1760,1460,8750,5770,397,571,632,2050000
100 Darter (S.L. Industries),Piston,340,204,180,72,180,1270,1250,1840,7300,4480,377,549,787,2950000
